"","id","age_group","condition","B0","Bf","BF","Bc","lF","lc","loglik","BIC","convergence"
"1",11,"OA","Decreasing",11.0508464216169,19.4519838715196,0.127379844013166,-0.106874235051694,0.997741567225325,0.997695542909336,101.881562964973,243.870796295953,0
"2",14,"OA","Decreasing",8.74508420890073,17.9398089484685,-1.49478643856949,0.91353662726528,0.731574454843571,0.363312924986989,108.616354190794,257.340378747596,0
"3",15,"OA","Decreasing",2.9254799460786,9.12593348424552,-0.502300544425573,0.343859000462826,0.896937972258998,0.174458995635285,213.630429476305,467.368529318618,0
"4",16,"OA","Decreasing",2.44047553959471,11.7500568536361,-0.0412456959748274,0.0765505193913732,0.98965206280818,0.950656246263994,167.916611821261,375.94089400853,0
"5",17,"OA","Decreasing",2.08245099650952,17.7348037387067,-3.033223685996,1.18720943710906,0.699131307330046,0.435477733911576,116.192849941812,272.493370249631,0
"6",18,"OA","Decreasing",-0.345113666003824,5.03773305175731,-0.017172687538521,0.157028138403471,0.996984908957896,0.50244633969946,284.103386182225,608.314442730457,0
"7",20,"OA","Decreasing",4.17233612851399,21.3753583107852,-0.974802713270656,0.0162573147940814,0.844506591233531,0.999415828571339,97.5560054018389,235.219681169685,0
"8",23,"OA","Decreasing",10.5912622711325,20.8455536765444,0.0271671329470873,-0.0958192798451892,1,0.997176603606943,94.7105294618288,229.528729289665,0
"9",26,"OA","Decreasing",1.6666761566783,11.8166725681405,-0.49204287835755,-0.0535816605520116,0.420203823941935,0.991818581046731,159.496087909882,359.099846185771,0
"10",27,"OA","Decreasing",11.6113122052431,27.1055781553799,-0.938258387952651,0.00780058586820453,0.604909767445707,0.999592231815862,73.2560123447377,186.619695055483,0
"11",28,"OA","Decreasing",1.00476526537214,16.9443732667202,-0.931179293091028,0.729500800088018,0.912173601679967,0.689683988356545,122.701221440061,285.51011324613,0
"12",29,"OA","Decreasing",1.5175126383743,8.68002698741802,-0.439691108949057,0.204658972216475,0.944132471322254,0.0302492006762317,224.423988172547,488.955646711102,0
"13",30,"OA","Decreasing",-0.99549500171728,14.3170623704794,-1.31223680334902,0.526397867538115,0.830409039617382,0.727173602268274,110.611887618112,261.331445602233,0
"14",31,"OA","Decreasing",3.05191677376775,16.6644496804974,-0.742833119792202,0.0250993106758698,0.921954509796639,1,125.585816331562,291.279303029132,0
"15",32,"OA","Decreasing",11.1344104701934,30.265657675743,-3.28694831751411,1.03702973444241,0.760064851259035,0.748142156166494,69.4070861810313,178.92184272807,0
"16",34,"OA","Decreasing",3.60902425884987,16.7933490011961,-1.25490221137361,0.637396864694235,0.715672351921406,0.148569423624036,119.261882556067,278.631435478142,0
"17",35,"OA","Decreasing",3.62536446977757,17.9558537709771,-1.41056501590973,0.91072692367007,0.795405006237768,0.51647867894112,112.674042583894,265.455755533796,0
