"","id","condition","model","parsname","pars","LL","BIC","AIC","age_group"
"247",117,"Decreasing","RFTDDM","a",2.23212997403446,97058.938089092,194134.292990205,194134.292990205,"Young"
"248",117,"Decreasing","RFTDDM","t0",5.02397790290868,97058.938089092,194134.292990205,194134.292990205,"Young"
"249",117,"Decreasing","RFTDDM","nk",47,97058.938089092,194134.292990205,194134.292990205,"Young"
"250",118,"Decreasing","RFTDDM","a",6.01359816640915,10227.0503347016,20470.530060059,20470.530060059,"Young"
"251",118,"Decreasing","RFTDDM","t0",1.39137432972974,10227.0503347016,20470.530060059,20470.530060059,"Young"
"252",118,"Decreasing","RFTDDM","nk",33,10227.0503347016,20470.530060059,20470.530060059,"Young"
"253",119,"Decreasing","RFTDDM","a",2.03108263754792,6457.70316018942,12931.8231323998,12931.8231323998,"Young"
"254",119,"Decreasing","RFTDDM","t0",2.38822324365962,6457.70316018942,12931.8231323998,12931.8231323998,"Young"
"255",119,"Decreasing","RFTDDM","nk",41,6457.70316018942,12931.8231323998,12931.8231323998,"Young"
"256",120,"Decreasing","RFTDDM","a",2.12842854946769,6417.13575021722,12850.7008910902,12850.7008910902,"Young"
"257",120,"Decreasing","RFTDDM","t0",0.448674922033528,6417.13575021722,12850.7008910902,12850.7008910902,"Young"
"258",120,"Decreasing","RFTDDM","nk",28,6417.13575021722,12850.7008910902,12850.7008910902,"Young"
"259",121,"Stable","RFTDDM","a",2.66347653851053,9910.78937689463,19837.8667906761,19837.8667906761,"Young"
"260",121,"Stable","RFTDDM","t0",2.04448575749258,9910.78937689463,19837.8667906761,19837.8667906761,"Young"
"261",121,"Stable","RFTDDM","nk",38,9910.78937689463,19837.8667906761,19837.8667906761,"Young"
"262",122,"Decreasing","RFTDDM","a",2.75480221296357,20709.1436387796,41434.6787729743,41434.6787729743,"Young"
"263",122,"Decreasing","RFTDDM","t0",3.26934068141918,20709.1436387796,41434.6787729743,41434.6787729743,"Young"
"264",122,"Decreasing","RFTDDM","nk",31,20709.1436387796,41434.6787729743,41434.6787729743,"Young"
"265",123,"Decreasing","RFTDDM","a",2.12189533888695,107212.721946617,214441.885810003,214441.885810003,"Young"
"266",123,"Decreasing","RFTDDM","t0",2.1305995089455,107212.721946617,214441.885810003,214441.885810003,"Young"
"267",123,"Decreasing","RFTDDM","nk",47,107212.721946617,214441.885810003,214441.885810003,"Young"
"268",124,"Stable","RFTDDM","a",6.45211877196059,10264.3837408556,20545.1842937322,20545.1842937322,"Young"
