"","id","condition","model","parsname","pars","LL","BIC","AIC","age_group"
"55",19,"Stable","RFTDDM","a",2.57845767291141,9033.73806147271,18083.8676183605,18083.8676183605,"Old"
"56",19,"Stable","RFTDDM","t0",1.78233972447071,9033.73806147271,18083.8676183605,18083.8676183605,"Old"
"57",19,"Stable","RFTDDM","nk",68,9033.73806147271,18083.8676183605,18083.8676183605,"Old"
"58",20,"Decreasing","RFTDDM","a",2.01687931911207,7053.24024006346,14122.922396897,14122.922396897,"Old"
"59",20,"Decreasing","RFTDDM","t0",2.94890568658493,7053.24024006346,14122.922396897,14122.922396897,"Old"
"60",20,"Decreasing","RFTDDM","nk",45,7053.24024006346,14122.922396897,14122.922396897,"Old"
"61",21,"Stable","RFTDDM","a",2.56604849880669,9481.10899288483,18978.6221661931,18978.6221661931,"Old"
"62",21,"Stable","RFTDDM","t0",1.57978757378117,9481.10899288483,18978.6221661931,18978.6221661931,"Old"
"63",21,"Stable","RFTDDM","nk",30,9481.10899288483,18978.6221661931,18978.6221661931,"Old"
"64",22,"Stable","RFTDDM","a",2.37857583903007,47661.9666069323,95340.3751306346,95340.3751306346,"Old"
"65",22,"Stable","RFTDDM","t0",4.30395960968815,47661.9666069323,95340.3751306346,95340.3751306346,"Old"
"66",22,"Stable","RFTDDM","nk",90,47661.9666069323,95340.3751306346,95340.3751306346,"Old"
"67",23,"Decreasing","RFTDDM","a",2.21931775608639,37586.6045727776,75189.6510623253,75189.6510623253,"Old"
"68",23,"Decreasing","RFTDDM","t0",2.7500204766236,37586.6045727776,75189.6510623253,75189.6510623253,"Old"
"69",23,"Decreasing","RFTDDM","nk",33,37586.6045727776,75189.6510623253,75189.6510623253,"Old"
"70",24,"Stable","RFTDDM","a",7.17858996859698,18566.7739477557,37149.9898122813,37149.9898122813,"Old"
"71",24,"Stable","RFTDDM","t0",3.2516741429161,18566.7739477557,37149.9898122813,37149.9898122813,"Old"
"72",24,"Stable","RFTDDM","nk",45,18566.7739477557,37149.9898122813,37149.9898122813,"Old"
"73",25,"Stable","RFTDDM","a",16.822185513466,25775.720810307,51567.7427866246,51567.7427866246,"Old"
"74",25,"Stable","RFTDDM","t0",3.83009230098808,25775.720810307,51567.7427866246,51567.7427866246,"Old"
"75",25,"Stable","RFTDDM","nk",46,25775.720810307,51567.7427866246,51567.7427866246,"Old"
"76",26,"Decreasing","RFTDDM","a",2.52365314223507,10177.8639683662,20372.1698535024,20372.1698535024,"Old"
"77",26,"Decreasing","RFTDDM","t0",1.95759027587616,10177.8639683662,20372.1698535024,20372.1698535024,"Old"
"78",26,"Decreasing","RFTDDM","nk",37,10177.8639683662,20372.1698535024,20372.1698535024,"Old"
"79",27,"Decreasing","RFTDDM","a",3.70660725784018,10724.4896209099,21465.1737299243,21465.1737299243,"Old"
"80",27,"Decreasing","RFTDDM","t0",3.77102317986796,10724.4896209099,21465.1737299243,21465.1737299243,"Old"
"81",27,"Decreasing","RFTDDM","nk",31,10724.4896209099,21465.1737299243,21465.1737299243,"Old"
"82",28,"Decreasing","RFTDDM","a",5.96579120962661,10827.7140011698,21671.702852392,21671.702852392,"Old"
"83",28,"Decreasing","RFTDDM","t0",6.49315326667418,10827.7140011698,21671.702852392,21671.702852392,"Old"
"84",28,"Decreasing","RFTDDM","nk",28,10827.7140011698,21671.702852392,21671.702852392,"Old"
"85",29,"Decreasing","RFTDDM","a",2.09582452361866,17093.3962157822,34203.2218222201,34203.2218222201,"Old"
"86",29,"Decreasing","RFTDDM","t0",2.25276751917344,17093.3962157822,34203.2218222201,34203.2218222201,"Old"
"87",29,"Decreasing","RFTDDM","nk",37,17093.3962157822,34203.2218222201,34203.2218222201,"Old"
"88",30,"Decreasing","RFTDDM","a",3.38647371890022,8157.25334212607,16330.9360749079,16330.9360749079,"Old"
"89",30,"Decreasing","RFTDDM","t0",0.399814340544116,8157.25334212607,16330.9360749079,16330.9360749079,"Old"
"90",30,"Decreasing","RFTDDM","nk",40,8157.25334212607,16330.9360749079,16330.9360749079,"Old"
"91",31,"Decreasing","RFTDDM","a",2.57256732902806,9313.49741368203,18643.2696774165,18643.2696774165,"Old"
"92",31,"Decreasing","RFTDDM","t0",3.87100755613835,9313.49741368203,18643.2696774165,18643.2696774165,"Old"
"93",31,"Decreasing","RFTDDM","nk",26,9313.49741368203,18643.2696774165,18643.2696774165,"Old"
"94",32,"Decreasing","RFTDDM","a",4.66743345476485,21470.2101392457,42956.8496691471,42956.8496691471,"Old"
"95",32,"Decreasing","RFTDDM","t0",1,21470.2101392457,42956.8496691471,42956.8496691471,"Old"
"96",32,"Decreasing","RFTDDM","nk",14,21470.2101392457,42956.8496691471,42956.8496691471,"Old"
"97",33,"Stable","RFTDDM","a",2.41057068426201,58417.842395374,116852.076286163,116852.076286163,"Old"
"98",33,"Stable","RFTDDM","t0",3.53227802070385,58417.842395374,116852.076286163,116852.076286163,"Old"
"99",33,"Stable","RFTDDM","nk",63,58417.842395374,116852.076286163,116852.076286163,"Old"
"100",34,"Decreasing","RFTDDM","a",2.24912706503357,38086.9546974779,76190.2236328826,76190.2236328826,"Old"
"101",34,"Decreasing","RFTDDM","t0",4.99208210861202,38086.9546974779,76190.2236328826,76190.2236328826,"Old"
"102",34,"Decreasing","RFTDDM","nk",34,38086.9546974779,76190.2236328826,76190.2236328826,"Old"
"103",35,"Decreasing","RFTDDM","a",6.22334984720949,30662.748649097,61341.9266888497,61341.9266888497,"Old"
"104",35,"Decreasing","RFTDDM","t0",2.80176552802181,30662.748649097,61341.9266888497,61341.9266888497,"Old"
"105",35,"Decreasing","RFTDDM","nk",14,30662.748649097,61341.9266888497,61341.9266888497,"Old"
"106",36,"Stable","RFTDDM","a",2.64335601889246,8818.67714907085,17653.2190992338,17653.2190992338,"Old"
"107",36,"Stable","RFTDDM","t0",3.06944364942779,8818.67714907085,17653.2190992338,17653.2190992338,"Old"
"108",36,"Stable","RFTDDM","nk",58,8818.67714907085,17653.2190992338,17653.2190992338,"Old"
"109",37,"Stable","RFTDDM","a",2.97299476665148,12302.0330875574,24620.078789354,24620.078789354,"Old"
"110",37,"Stable","RFTDDM","t0",3.55569115586158,12302.0330875574,24620.078789354,24620.078789354,"Old"
