"","id","condition","model","parsname","pars","LL","BIC","AIC"
"26",102,"Decreasing","RFTDDM","t0",5.60015884919333e-10,1136.19768234817,2299.13381160702,2299.13381160702
"27",102,"Decreasing","RFTDDM","nk",14,1136.19768234817,2299.13381160702,2299.13381160702
"28",102,"Decreasing","RFTDDM","m",0.00584428246882134,1136.19768234817,2299.13381160702,2299.13381160702
"29",103,"Stable","CtlDDM","a",1.03620796687755,613.420210011393,1246.89425520579,1232.84042002279
"30",103,"Stable","CtlDDM","t0",1e-10,613.420210011393,1246.89425520579,1232.84042002279
"31",103,"Stable","CtlDDM","m",0.0183829611401245,613.420210011393,1246.89425520579,1232.84042002279
"32",103,"Stable","RFTDDM","a",1.21842854344717,817.387703585817,1661.5138540823,1661.5138540823
"33",103,"Stable","RFTDDM","t0",1.20641389314384e-11,817.387703585817,1661.5138540823,1661.5138540823
"34",103,"Stable","RFTDDM","nk",32,817.387703585817,1661.5138540823,1661.5138540823
"35",103,"Stable","RFTDDM","m",0.00775256324576274,817.387703585817,1661.5138540823,1661.5138540823
"36",104,"Stable","CtlDDM","a",0.930773708178364,388.328486708373,796.710808599749,782.656973416746
"37",104,"Stable","CtlDDM","t0",1e-10,388.328486708373,796.710808599749,782.656973416746
"38",104,"Stable","CtlDDM","m",0.0212328411512813,388.328486708373,796.710808599749,782.656973416746
"39",104,"Stable","RFTDDM","a",1.14217676154101,527.35397180215,1081.44639051497,1081.44639051497
"40",104,"Stable","RFTDDM","t0",5.69507886204087e-11,527.35397180215,1081.44639051497,1081.44639051497
"41",104,"Stable","RFTDDM","nk",82,527.35397180215,1081.44639051497,1081.44639051497
"42",104,"Stable","RFTDDM","m",0.00738245997818271,527.35397180215,1081.44639051497,1081.44639051497
"43",105,"Stable","CtlDDM","a",1.04065993453131,791.127939820112,1602.30971482323,1588.25587964022
"44",105,"Stable","CtlDDM","t0",1e-10,791.127939820112,1602.30971482323,1588.25587964022
"45",105,"Stable","CtlDDM","m",0.0155616675178725,791.127939820112,1602.30971482323,1588.25587964022
"46",105,"Stable","RFTDDM","a",1.26135953700934,830.547386099038,1687.83321910875,1687.83321910875
"47",105,"Stable","RFTDDM","t0",1.04583764637548e-11,830.547386099038,1687.83321910875,1687.83321910875
"48",105,"Stable","RFTDDM","nk",95,830.547386099038,1687.83321910875,1687.83321910875
"49",105,"Stable","RFTDDM","m",0.00559905234595083,830.547386099038,1687.83321910875,1687.83321910875
"50",106,"Decreasing","CtlDDM","a",0.683893035234732,-181.947989457215,-343.842143731425,-357.895978914429
"51",106,"Decreasing","CtlDDM","t0",1e-10,-181.947989457215,-343.842143731425,-357.895978914429
"52",106,"Decreasing","CtlDDM","m",0.0110214743648525,-181.947989457215,-343.842143731425,-357.895978914429
"53",106,"Decreasing","RFTDDM","a",0.829829382195852,-80.3980286889828,-134.057610467294,-134.057610467294
"54",106,"Decreasing","RFTDDM","t0",2.30643856383566e-11,-80.3980286889828,-134.057610467294,-134.057610467294
"55",106,"Decreasing","RFTDDM","nk",32,-80.3980286889828,-134.057610467294,-134.057610467294
"56",106,"Decreasing","RFTDDM","m",0.001,-80.3980286889828,-134.057610467294,-134.057610467294
"57",107,"Stable","CtlDDM","a",0.887415153558876,1039.92867668776,2099.91118855853,2085.85735337553
"58",107,"Stable","CtlDDM","t0",1e-10,1039.92867668776,2099.91118855853,2085.85735337553
"59",107,"Stable","CtlDDM","m",0.0165743773965793,1039.92867668776,2099.91118855853,2085.85735337553
"60",107,"Stable","RFTDDM","a",1.06787949305365,917.897478873617,1862.53340465791,1862.53340465791
"61",107,"Stable","RFTDDM","t0",1.78653747241175e-12,917.897478873617,1862.53340465791,1862.53340465791
"62",107,"Stable","RFTDDM","nk",55,917.897478873617,1862.53340465791,1862.53340465791
"63",107,"Stable","RFTDDM","m",0.00655405330675563,917.897478873617,1862.53340465791,1862.53340465791
"64",108,"Decreasing","CtlDDM","a",0.924446076148767,657.055693055574,1334.16522129415,1320.11138611115
"65",108,"Decreasing","CtlDDM","t0",1e-10,657.055693055574,1334.16522129415,1320.11138611115
"66",108,"Decreasing","CtlDDM","m",0.01,657.055693055574,1334.16522129415,1320.11138611115
"67",108,"Decreasing","RFTDDM","a",1.16792921525593,546.665609816848,1120.06966654437,1120.06966654437
"68",108,"Decreasing","RFTDDM","t0",1.84283693225578e-10,546.665609816848,1120.06966654437,1120.06966654437
"69",108,"Decreasing","RFTDDM","nk",23,546.665609816848,1120.06966654437,1120.06966654437
"70",108,"Decreasing","RFTDDM","m",0.001,546.665609816848,1120.06966654437,1120.06966654437
"71",109,"Stable","CtlDDM","a",1.05399484261327,1010.83460056945,2041.7230363219,2027.66920113889
"72",109,"Stable","CtlDDM","t0",1e-10,1010.83460056945,2041.7230363219,2027.66920113889
"73",109,"Stable","CtlDDM","m",0.0168615594098903,1010.83460056945,2041.7230363219,2027.66920113889
"74",109,"Stable","RFTDDM","a",1.38742630539849,806.018248270127,1638.77494345093,1638.77494345093
"75",109,"Stable","RFTDDM","t0",9.03059995341275e-10,806.018248270127,1638.77494345093,1638.77494345093
"76",109,"Stable","RFTDDM","nk",56,806.018248270127,1638.77494345093,1638.77494345093
"77",109,"Stable","RFTDDM","m",0.0084600726350019,806.018248270127,1638.77494345093,1638.77494345093
"78",11,"Decreasing","CtlDDM","a",1.20274607004895,1064.10635038974,2148.26653596249,2134.21270077949
"79",11,"Decreasing","CtlDDM","t0",1e-10,1064.10635038974,2148.26653596249,2134.21270077949
"80",11,"Decreasing","CtlDDM","m",0.0121448378138453,1064.10635038974,2148.26653596249,2134.21270077949
"81",11,"Decreasing","RFTDDM","a",1.6553528120668,730.897636295937,1488.53371950255,1488.53371950255
"82",11,"Decreasing","RFTDDM","t0",5.05332446049774e-10,730.897636295937,1488.53371950255,1488.53371950255
"83",11,"Decreasing","RFTDDM","nk",96,730.897636295937,1488.53371950255,1488.53371950255
"84",11,"Decreasing","RFTDDM","m",0.00663698789072473,730.897636295937,1488.53371950255,1488.53371950255
"85",110,"Stable","CtlDDM","a",0.984859764388027,512.314631926959,1044.68309903692,1030.62926385392
"86",110,"Stable","CtlDDM","t0",1e-10,512.314631926959,1044.68309903692,1030.62926385392
"87",110,"Stable","CtlDDM","m",0.0168476492136761,512.314631926959,1044.68309903692,1030.62926385392
"88",110,"Stable","RFTDDM","a",1.2726453602663,529.978505809228,1086.69545852913,1086.69545852913
"89",110,"Stable","RFTDDM","t0",9.98510517823555e-10,529.978505809228,1086.69545852913,1086.69545852913
"90",110,"Stable","RFTDDM","nk",89,529.978505809228,1086.69545852913,1086.69545852913
"91",110,"Stable","RFTDDM","m",0.00577072851751423,529.978505809228,1086.69545852913,1086.69545852913
"92",111,"Decreasing","CtlDDM","a",1.3525022727,732.81073994936,1485.67531508172,1471.62147989872
"93",111,"Decreasing","CtlDDM","t0",1e-10,732.81073994936,1485.67531508172,1471.62147989872
"94",111,"Decreasing","CtlDDM","m",0.0164069713613225,732.81073994936,1485.67531508172,1471.62147989872
"95",111,"Decreasing","RFTDDM","a",1.67733541088869,902.14536610381,1831.02917911829,1831.02917911829
"96",111,"Decreasing","RFTDDM","t0",1e-10,902.14536610381,1831.02917911829,1831.02917911829
"97",111,"Decreasing","RFTDDM","nk",99,902.14536610381,1831.02917911829,1831.02917911829
"98",111,"Decreasing","RFTDDM","m",0.00960034714750743,902.14536610381,1831.02917911829,1831.02917911829
"99",112,"Decreasing","CtlDDM","a",0.861534368275424,191.056105383177,402.166045949357,388.112210766353
"100",112,"Decreasing","CtlDDM","t0",1e-10,191.056105383177,402.166045949357,388.112210766353
"101",112,"Decreasing","CtlDDM","m",0.01,191.056105383177,402.166045949357,388.112210766353
"102",112,"Decreasing","RFTDDM","a",1.07413186556469,248.406860133967,523.552167178605,523.552167178605
"103",112,"Decreasing","RFTDDM","t0",1.97831760310793e-08,248.406860133967,523.552167178605,523.552167178605
"104",112,"Decreasing","RFTDDM","nk",19,248.406860133967,523.552167178605,523.552167178605
"105",112,"Decreasing","RFTDDM","m",0.001,248.406860133967,523.552167178605,523.552167178605
"106",113,"Decreasing","CtlDDM","a",0.766376732260355,389.660874573165,799.375584329333,785.321749146329
"107",113,"Decreasing","CtlDDM","t0",1e-10,389.660874573165,799.375584329333,785.321749146329
"108",113,"Decreasing","CtlDDM","m",0.01,389.660874573165,799.375584329333,785.321749146329
"109",113,"Decreasing","RFTDDM","a",0.946888983397397,276.693643490552,580.125733891775,580.125733891775
"110",113,"Decreasing","RFTDDM","t0",4.48019423979911e-13,276.693643490552,580.125733891775,580.125733891775
"111",113,"Decreasing","RFTDDM","nk",32,276.693643490552,580.125733891775,580.125733891775
"112",113,"Decreasing","RFTDDM","m",0.001,276.693643490552,580.125733891775,580.125733891775
"113",114,"Stable","CtlDDM","a",0.769570439746583,564.684793303742,1149.42342179049,1135.36958660748
"114",114,"Stable","CtlDDM","t0",1e-10,564.684793303742,1149.42342179049,1135.36958660748
"115",114,"Stable","CtlDDM","m",0.0208844076379434,564.684793303742,1149.42342179049,1135.36958660748
"116",114,"Stable","RFTDDM","a",1.02424210736204,267.739760094272,562.217967099215,562.217967099215
"117",114,"Stable","RFTDDM","t0",2.88439750999453e-11,267.739760094272,562.217967099215,562.217967099215
"118",114,"Stable","RFTDDM","nk",78,267.739760094272,562.217967099215,562.217967099215
"119",114,"Stable","RFTDDM","m",0.010889700084342,267.739760094272,562.217967099215,562.217967099215
"120",115,"Stable","CtlDDM","a",0.705998733967069,68.2444260974272,156.542687377858,142.488852194854
"121",115,"Stable","CtlDDM","t0",1e-10,68.2444260974272,156.542687377858,142.488852194854
"122",115,"Stable","CtlDDM","m",0.027038853740142,68.2444260974272,156.542687377858,142.488852194854
"123",115,"Stable","RFTDDM","a",0.881944186471117,128.893785319471,284.526017549613,284.526017549613
"124",115,"Stable","RFTDDM","t0",6.90495423342163e-12,128.893785319471,284.526017549613,284.526017549613
"125",115,"Stable","RFTDDM","nk",100,128.893785319471,284.526017549613,284.526017549613
"126",115,"Stable","RFTDDM","m",0.0127887267161668,128.893785319471,284.526017549613,284.526017549613
"127",116,"Stable","CtlDDM","a",0.824488726069769,768.479226675186,1557.01228853338,1542.95845335037
"128",116,"Stable","CtlDDM","t0",1e-10,768.479226675186,1557.01228853338,1542.95845335037
"129",116,"Stable","CtlDDM","m",0.01,768.479226675186,1557.01228853338,1542.95845335037
"130",116,"Stable","RFTDDM","a",0.739788745385553,1798.26275858729,3623.26396408524,3623.26396408524
"131",116,"Stable","RFTDDM","t0",9.53735127489805e-13,1798.26275858729,3623.26396408524,3623.26396408524
"132",116,"Stable","RFTDDM","nk",100,1798.26275858729,3623.26396408524,3623.26396408524
"133",116,"Stable","RFTDDM","m",0.001,1798.26275858729,3623.26396408524,3623.26396408524
"134",117,"Decreasing","CtlDDM","a",0.779278185850534,1196.41468536844,2412.88320591989,2398.82937073689
"135",117,"Decreasing","CtlDDM","t0",1e-10,1196.41468536844,2412.88320591989,2398.82937073689
"136",117,"Decreasing","CtlDDM","m",0.011896484036197,1196.41468536844,2412.88320591989,2398.82937073689
"137",117,"Decreasing","RFTDDM","a",1.02847028700261,759.565184701421,1545.86881631351,1545.86881631351
"138",117,"Decreasing","RFTDDM","t0",1.36385649691834e-11,759.565184701421,1545.86881631351,1545.86881631351
"139",117,"Decreasing","RFTDDM","nk",9,759.565184701421,1545.86881631351,1545.86881631351
"140",117,"Decreasing","RFTDDM","m",0.00355889476151134,759.565184701421,1545.86881631351,1545.86881631351
"141",118,"Decreasing","CtlDDM","a",1.1004917391034,938.273593231307,1896.60102164562,1882.54718646261
"142",118,"Decreasing","CtlDDM","t0",1e-10,938.273593231307,1896.60102164562,1882.54718646261
"143",118,"Decreasing","CtlDDM","m",0.01,938.273593231307,1896.60102164562,1882.54718646261
"144",118,"Decreasing","RFTDDM","a",1.41228622611875,852.081896305426,1730.90223952152,1730.90223952152
"145",118,"Decreasing","RFTDDM","t0",1.13859117637999e-10,852.081896305426,1730.90223952152,1730.90223952152
"146",118,"Decreasing","RFTDDM","nk",34,852.081896305426,1730.90223952152,1730.90223952152
"147",118,"Decreasing","RFTDDM","m",0.001,852.081896305426,1730.90223952152,1730.90223952152
"148",119,"Decreasing","CtlDDM","a",0.927156723936135,1128.85718027986,2277.76819574273,2263.71436055972
"149",119,"Decreasing","CtlDDM","t0",1e-10,1128.85718027986,2277.76819574273,2263.71436055972
"150",119,"Decreasing","CtlDDM","m",0.01,1128.85718027986,2277.76819574273,2263.71436055972
"151",119,"Decreasing","RFTDDM","a",1.29062462330696,723.365957806359,1473.47036252339,1473.47036252339
"152",119,"Decreasing","RFTDDM","t0",2.19525756303192e-10,723.365957806359,1473.47036252339,1473.47036252339
"153",119,"Decreasing","RFTDDM","nk",15,723.365957806359,1473.47036252339,1473.47036252339
"154",119,"Decreasing","RFTDDM","m",0.00148205110615074,723.365957806359,1473.47036252339,1473.47036252339
"155",12,"Stable","CtlDDM","a",2.12502876725168,983.743980546628,1987.54179627626,1973.48796109326
"156",12,"Stable","CtlDDM","t0",1e-10,983.743980546628,1987.54179627626,1973.48796109326
"157",12,"Stable","CtlDDM","m",0.0161835678912404,983.743980546628,1987.54179627626,1973.48796109326
"158",12,"Stable","RFTDDM","a",3.12730160707979,1087.19582741482,2201.13010174031,2201.13010174031
"159",12,"Stable","RFTDDM","t0",7.27292505575082e-09,1087.19582741482,2201.13010174031,2201.13010174031
"160",12,"Stable","RFTDDM","nk",99,1087.19582741482,2201.13010174031,2201.13010174031
"161",12,"Stable","RFTDDM","m",0.00990084735032639,1087.19582741482,2201.13010174031,2201.13010174031
"162",120,"Decreasing","CtlDDM","a",0.9311235373643,1050.0110942134,2120.07602360981,2106.0221884268
"163",120,"Decreasing","CtlDDM","t0",1e-10,1050.0110942134,2120.07602360981,2106.0221884268
"164",120,"Decreasing","CtlDDM","m",0.01,1050.0110942134,2120.07602360981,2106.0221884268
"165",120,"Decreasing","RFTDDM","a",1.08049588675003,932.413907707274,1891.56626232522,1891.56626232522
"166",120,"Decreasing","RFTDDM","t0",2.43406681421597e-13,932.413907707274,1891.56626232522,1891.56626232522
"167",120,"Decreasing","RFTDDM","nk",93,932.413907707274,1891.56626232522,1891.56626232522
"168",120,"Decreasing","RFTDDM","m",0.001,932.413907707274,1891.56626232522,1891.56626232522
"169",121,"Stable","CtlDDM","a",0.73942546312797,617.097199915155,1254.24823501331,1240.19439983031
"170",121,"Stable","CtlDDM","t0",1e-10,617.097199915155,1254.24823501331,1240.19439983031
"171",121,"Stable","CtlDDM","m",0.0175931157957844,617.097199915155,1254.24823501331,1240.19439983031
"172",121,"Stable","RFTDDM","a",0.840420244768855,680.935702028081,1388.60985096683,1388.60985096683
"173",121,"Stable","RFTDDM","t0",1.17086047761943e-10,680.935702028081,1388.60985096683,1388.60985096683
"174",121,"Stable","RFTDDM","nk",78,680.935702028081,1388.60985096683,1388.60985096683
"175",121,"Stable","RFTDDM","m",0.0035526733658257,680.935702028081,1388.60985096683,1388.60985096683
"176",122,"Decreasing","CtlDDM","a",0.941763868539333,620.752453735488,1261.55874265398,1247.50490747098
"177",122,"Decreasing","CtlDDM","t0",1e-10,620.752453735488,1261.55874265398,1247.50490747098
"178",122,"Decreasing","CtlDDM","m",0.0121066191002171,620.752453735488,1261.55874265398,1247.50490747098
"179",122,"Decreasing","RFTDDM","a",1.17039783858454,585.277784377204,1197.29401566508,1197.29401566508
"180",122,"Decreasing","RFTDDM","t0",8.12209380034531e-11,585.277784377204,1197.29401566508,1197.29401566508
"181",122,"Decreasing","RFTDDM","nk",50,585.277784377204,1197.29401566508,1197.29401566508
"182",122,"Decreasing","RFTDDM","m",0.00501005085486621,585.277784377204,1197.29401566508,1197.29401566508
"183",123,"Decreasing","CtlDDM","a",0.866020909699484,1260.41983115777,2540.89349749855,2526.83966231555
"184",123,"Decreasing","CtlDDM","t0",1e-10,1260.41983115777,2540.89349749855,2526.83966231555
"185",123,"Decreasing","CtlDDM","m",0.0113591816805103,1260.41983115777,2540.89349749855,2526.83966231555
"186",123,"Decreasing","RFTDDM","a",1.07007233926544,1046.41506929075,2119.56858549217,2119.56858549217
"187",123,"Decreasing","RFTDDM","t0",6.18462684760395e-11,1046.41506929075,2119.56858549217,2119.56858549217
"188",123,"Decreasing","RFTDDM","nk",14,1046.41506929075,2119.56858549217,2119.56858549217
"189",123,"Decreasing","RFTDDM","m",0.00225038937177583,1046.41506929075,2119.56858549217,2119.56858549217
"190",124,"Stable","CtlDDM","a",0.879541501510303,-215.648642637742,-411.243450092481,-425.297285275485
"191",124,"Stable","CtlDDM","t0",1e-10,-215.648642637742,-411.243450092481,-425.297285275485
"192",124,"Stable","CtlDDM","m",0.0328271604376899,-215.648642637742,-411.243450092481,-425.297285275485
"193",124,"Stable","RFTDDM","a",1.07659701145877,99.4706305198851,225.679707950442,225.679707950442
"194",124,"Stable","RFTDDM","t0",6.19221153766912e-11,99.4706305198851,225.679707950442,225.679707950442
"195",124,"Stable","RFTDDM","nk",49,99.4706305198851,225.679707950442,225.679707950442
"196",124,"Stable","RFTDDM","m",0.0160461167400984,99.4706305198851,225.679707950442,225.679707950442
"197",125,"Stable","CtlDDM","a",0.924655482600005,121.79603033768,263.645895858363,249.592060675359
"198",125,"Stable","CtlDDM","t0",1e-10,121.79603033768,263.645895858363,249.592060675359
"199",125,"Stable","CtlDDM","m",0.0209860524846968,121.79603033768,263.645895858363,249.592060675359
"200",125,"Stable","RFTDDM","a",1.09906196321615,332.183841825634,691.106130561939,691.106130561939
"201",125,"Stable","RFTDDM","t0",2.02130500587789e-08,332.183841825634,691.106130561939,691.106130561939
"202",125,"Stable","RFTDDM","nk",83,332.183841825634,691.106130561939,691.106130561939
"203",125,"Stable","RFTDDM","m",0.00539160473221598,332.183841825634,691.106130561939,691.106130561939
"204",126,"Stable","CtlDDM","a",0.821576993207027,195.22836774736,410.510570677724,396.456735494721
"205",126,"Stable","CtlDDM","t0",1e-10,195.22836774736,410.510570677724,396.456735494721
"206",126,"Stable","CtlDDM","m",0.0253913617188933,195.22836774736,410.510570677724,396.456735494721
"207",126,"Stable","RFTDDM","a",1.10267898806523,130.165618690138,287.069684290947,287.069684290947
"208",126,"Stable","RFTDDM","t0",3.12720144168245e-12,130.165618690138,287.069684290947,287.069684290947
"209",126,"Stable","RFTDDM","nk",82,130.165618690138,287.069684290947,287.069684290947
"210",126,"Stable","RFTDDM","m",0.0131498178358078,130.165618690138,287.069684290947,287.069684290947
"211",127,"Decreasing","CtlDDM","a",1.02968816864465,1196.98723415202,2414.0207940964,2399.97446830405
"212",127,"Decreasing","CtlDDM","t0",1e-10,1196.98723415202,2414.0207940964,2399.97446830405
"213",127,"Decreasing","CtlDDM","m",0.0127837790897463,1196.98723415202,2414.0207940964,2399.97446830405
"214",127,"Decreasing","RFTDDM","a",1.33068987511167,899.762373856699,1826.2531821032,1826.2531821032
"215",127,"Decreasing","RFTDDM","t0",1.40365911688912e-10,899.762373856699,1826.2531821032,1826.2531821032
"216",127,"Decreasing","RFTDDM","nk",98,899.762373856699,1826.2531821032,1826.2531821032
"217",127,"Decreasing","RFTDDM","m",0.005527759081188,899.762373856699,1826.2531821032,1826.2531821032
"218",128,"Decreasing","CtlDDM","a",0.85068744310724,-20.2066646465157,-20.3594941100276,-34.4133292930314
"219",128,"Decreasing","CtlDDM","t0",1e-10,-20.2066646465157,-20.3594941100276,-34.4133292930314
"220",128,"Decreasing","CtlDDM","m",0.01,-20.2066646465157,-20.3594941100276,-34.4133292930314
"221",128,"Decreasing","RFTDDM","a",1.02057830524428,153.504175767574,333.74679844582,333.74679844582
"222",128,"Decreasing","RFTDDM","t0",2.35224242515538e-10,153.504175767574,333.74679844582,333.74679844582
"223",128,"Decreasing","RFTDDM","nk",100,153.504175767574,333.74679844582,333.74679844582
"224",128,"Decreasing","RFTDDM","m",0.001,153.504175767574,333.74679844582,333.74679844582
"225",129,"Stable","CtlDDM","a",0.997113586910732,187.749900508923,395.553636200849,381.499801017845
"226",129,"Stable","CtlDDM","t0",1e-10,187.749900508923,395.553636200849,381.499801017845
"227",129,"Stable","CtlDDM","m",0.0223772519177561,187.749900508923,395.553636200849,381.499801017845
"228",129,"Stable","RFTDDM","a",1.10688484135548,591.525034299795,1209.78851551026,1209.78851551026
"229",129,"Stable","RFTDDM","t0",1.79989751163523e-11,591.525034299795,1209.78851551026,1209.78851551026
"230",129,"Stable","RFTDDM","nk",69,591.525034299795,1209.78851551026,1209.78851551026
"231",129,"Stable","RFTDDM","m",0.00668047512449234,591.525034299795,1209.78851551026,1209.78851551026
"232",13,"Stable","CtlDDM","a",1.77513405534383,887.701469172203,1795.45677352741,1781.40293834441
"233",13,"Stable","CtlDDM","t0",1e-10,887.701469172203,1795.45677352741,1781.40293834441
"234",13,"Stable","CtlDDM","m",0.0141277325919508,887.701469172203,1795.45677352741,1781.40293834441
"235",13,"Stable","RFTDDM","a",2.14832688757796,1200.96358600433,2428.66561891934,2428.66561891934
"236",13,"Stable","RFTDDM","t0",1e-10,1200.96358600433,2428.66561891934,2428.66561891934
"237",13,"Stable","RFTDDM","nk",100,1200.96358600433,2428.66561891934,2428.66561891934
"238",13,"Stable","RFTDDM","m",0.00530118303003889,1200.96358600433,2428.66561891934,2428.66561891934
"239",130,"Stable","CtlDDM","a",1.12521235331613,297.090979109315,614.235793401634,600.18195821863
"240",130,"Stable","CtlDDM","t0",1e-10,297.090979109315,614.235793401634,600.18195821863
"241",130,"Stable","CtlDDM","m",0.0227964738252803,297.090979109315,614.235793401634,600.18195821863
"242",130,"Stable","RFTDDM","a",1.37709115618046,578.573238413854,1183.88492373838,1183.88492373838
"243",130,"Stable","RFTDDM","t0",2.60750701512272e-12,578.573238413854,1183.88492373838,1183.88492373838
"244",130,"Stable","RFTDDM","nk",77,578.573238413854,1183.88492373838,1183.88492373838
"245",130,"Stable","RFTDDM","m",0.00972966366900064,578.573238413854,1183.88492373838,1183.88492373838
"246",131,"Stable","CtlDDM","a",1.09811023351938,136.395986501404,292.845808185812,278.791973002808
"247",131,"Stable","CtlDDM","t0",1e-10,136.395986501404,292.845808185812,278.791973002808
"248",131,"Stable","CtlDDM","m",0.0239963263546571,136.395986501404,292.845808185812,278.791973002808
"249",131,"Stable","RFTDDM","a",1.36313020075935,433.842064975614,894.4225768619,894.4225768619
"250",131,"Stable","RFTDDM","t0",1.98503662008908e-12,433.842064975614,894.4225768619,894.4225768619
"251",131,"Stable","RFTDDM","nk",94,433.842064975614,894.4225768619,894.4225768619
"252",131,"Stable","RFTDDM","m",0.0106282433170963,433.842064975614,894.4225768619,894.4225768619
"253",132,"Decreasing","CtlDDM","a",0.849363270611935,584.243750173325,1188.54133552965,1174.48750034665
"254",132,"Decreasing","CtlDDM","t0",1e-10,584.243750173325,1188.54133552965,1174.48750034665
"255",132,"Decreasing","CtlDDM","m",0.01,584.243750173325,1188.54133552965,1174.48750034665
"256",132,"Decreasing","RFTDDM","a",1.08867479821639,588.196991586051,1203.13243008277,1203.13243008277
"257",132,"Decreasing","RFTDDM","t0",5.17790347594986e-11,588.196991586051,1203.13243008277,1203.13243008277
"258",132,"Decreasing","RFTDDM","nk",6,588.196991586051,1203.13243008277,1203.13243008277
"259",132,"Decreasing","RFTDDM","m",0.001,588.196991586051,1203.13243008277,1203.13243008277
"260",133,"Decreasing","CtlDDM","a",0.952703750867286,25.6178063591765,71.2894479013568,57.235612718353
"261",133,"Decreasing","CtlDDM","t0",1e-10,25.6178063591765,71.2894479013568,57.235612718353
"262",133,"Decreasing","CtlDDM","m",0.0220867188925316,25.6178063591765,71.2894479013568,57.235612718353
"263",133,"Decreasing","RFTDDM","a",1.19891519422095,235.201897900722,497.142242712117,497.142242712117
"264",133,"Decreasing","RFTDDM","t0",2.27921978001321e-10,235.201897900722,497.142242712117,497.142242712117
"265",133,"Decreasing","RFTDDM","nk",71,235.201897900722,497.142242712117,497.142242712117
"266",133,"Decreasing","RFTDDM","m",0.00984309018203676,235.201897900722,497.142242712117,497.142242712117
"267",134,"Decreasing","CtlDDM","a",1.03431835649839,528.295892180476,1076.64561954396,1062.59178436095
"268",134,"Decreasing","CtlDDM","t0",1e-10,528.295892180476,1076.64561954396,1062.59178436095
"269",134,"Decreasing","CtlDDM","m",0.0119436159074703,528.295892180476,1076.64561954396,1062.59178436095
"270",134,"Decreasing","RFTDDM","a",1.39868150108812,535.83176666877,1098.40198024821,1098.40198024821
"271",134,"Decreasing","RFTDDM","t0",1.83353297294027e-11,535.83176666877,1098.40198024821,1098.40198024821
"272",134,"Decreasing","RFTDDM","nk",55,535.83176666877,1098.40198024821,1098.40198024821
"273",134,"Decreasing","RFTDDM","m",0.001,535.83176666877,1098.40198024821,1098.40198024821
"274",135,"Decreasing","CtlDDM","a",0.910543363080834,376.667938277386,773.389711737775,759.335876554772
"275",135,"Decreasing","CtlDDM","t0",1e-10,376.667938277386,773.389711737775,759.335876554772
"276",135,"Decreasing","CtlDDM","m",0.0138770595097997,376.667938277386,773.389711737775,759.335876554772
"277",135,"Decreasing","RFTDDM","a",1.08640081622505,502.799777384374,1032.33800167942,1032.33800167942
