"","id","condition","model","parsname","pars","LL","BIC","AIC"
"1",1,"Stable","CtlDDM","a",0.887311413765276,1365.2460809044,2750.54599699181,2736.49216180881
"2",1,"Stable","CtlDDM","t0",1e-10,1365.2460809044,2750.54599699181,2736.49216180881
"3",1,"Stable","CtlDDM","m",0.0117441552664288,1365.2460809044,2750.54599699181,2736.49216180881
"4",1,"Stable","RFTDDM","a",1.02859008402909,1252.98222055897,2532.70288802861,2532.70288802861
"5",1,"Stable","RFTDDM","t0",1.18952043863826e-11,1252.98222055897,2532.70288802861,2532.70288802861
"6",1,"Stable","RFTDDM","nk",30,1252.98222055897,2532.70288802861,2532.70288802861
"7",1,"Stable","RFTDDM","m",0.00281173490638896,1252.98222055897,2532.70288802861,2532.70288802861
"8",10,"Stable","CtlDDM","a",1.9752922784985,853.609257285448,1727.2723497539,1713.2185145709
"9",10,"Stable","CtlDDM","t0",1e-10,853.609257285448,1727.2723497539,1713.2185145709
"10",10,"Stable","CtlDDM","m",0.0163982502380158,853.609257285448,1727.2723497539,1713.2185145709
"11",10,"Stable","RFTDDM","a",3.34704964715915,2850.73746141621,5728.21336974308,5728.21336974308
"12",10,"Stable","RFTDDM","t0",0.00235073817934934,2850.73746141621,5728.21336974308,5728.21336974308
"13",10,"Stable","RFTDDM","nk",100,2850.73746141621,5728.21336974308,5728.21336974308
"14",10,"Stable","RFTDDM","m",0.05,2850.73746141621,5728.21336974308,5728.21336974308
"15",101,"Decreasing","CtlDDM","a",0.793981367188922,700.43023375763,1420.91430269826,1406.86046751526
"16",101,"Decreasing","CtlDDM","t0",1e-10,700.43023375763,1420.91430269826,1406.86046751526
"17",101,"Decreasing","CtlDDM","m",0.0178703428585326,700.43023375763,1420.91430269826,1406.86046751526
"18",101,"Decreasing","RFTDDM","a",1.01804246747259,488.523415643877,1003.78527819843,1003.78527819843
"19",101,"Decreasing","RFTDDM","t0",1.66110861351345e-11,488.523415643877,1003.78527819843,1003.78527819843
"20",101,"Decreasing","RFTDDM","nk",45,488.523415643877,1003.78527819843,1003.78527819843
"21",101,"Decreasing","RFTDDM","m",0.00830167731433345,488.523415643877,1003.78527819843,1003.78527819843
"22",102,"Decreasing","CtlDDM","a",1.5573370619391,1048.52845257717,2117.11074033735,2103.05690515435
"23",102,"Decreasing","CtlDDM","t0",1e-10,1048.52845257717,2117.11074033735,2103.05690515435
"24",102,"Decreasing","CtlDDM","m",0.0100783991111571,1048.52845257717,2117.11074033735,2103.05690515435
"25",102,"Decreasing","RFTDDM","a",2.40070571528294,1136.19768234817,2299.13381160702,2299.13381160702
