id,age,condition,counterbalance,block,trialinblock,trial,tstart,tend,trialstim,trialintensity,response,RT,trialtype,colourfreq
008,78,0,2,Practice,1,NA,5.907611921429634e-06,6.510054878424853,"[32, 0, 222]",222,a,5.980860284995288,colour,0.5
008,78,0,2,Practice,2,NA,7.026995359687135,8.974076687823981,"[16, 0, 238]",238,a,1.4239940985571593,colour,0.5
008,78,0,2,Practice,3,NA,9.493820168310776,10.88601202168502,"[26, 0, 228]",228,a,0.8690648451447487,colour,0.5
008,78,0,2,Practice,4,NA,11.400221577379853,12.862007919233292,"[50, 0, 204]",204,a,0.9382690326310694,colour,0.5
008,78,0,2,Practice,5,NA,13.375873647863045,14.678087926702574,"[72, 0, 182]",182,a,0.771550641162321,colour,0.5
008,78,0,2,Practice,6,NA,15.194424642715603,20.55000578938052,"[93, 0, 161]",161,l,4.824039233382791,colour,0.5
008,78,0,2,Practice,7,NA,21.06398809631355,22.541980003472418,"[20, 0, 234]",234,a,0.9600408179685473,colour,0.5
008,78,0,2,Practice,8,NA,23.05307108978741,25.00599039159715,"[60, 0, 194]",194,a,1.4338756848592311,colour,0.5
008,78,0,2,Practice,9,NA,25.52321522939019,26.989943152293563,"[33, 0, 221]",221,a,0.9434969394933432,colour,0.5
008,78,0,2,Practice,10,NA,27.507712284568697,28.949979637982324,"[84, 0, 170]",170,l,0.9308765504974872,colour,0.5
008,78,0,2,1,1,1,5.013293864671141,6.183957801666111,"[10, 0, 244]",244,a,0.6470245358068496,colour,0.5
008,78,0,2,1,2,2,6.701428005238995,7.84796850476414,"[59, 0, 195]",195,a,0.6231720638461411,colour,0.5
008,78,0,2,1,3,3,8.368216501548886,9.543987040873617,"[68, 0, 186]",186,a,0.6525895742233843,colour,0.5
008,78,0,2,1,4,4,10.05948644108139,11.039992264704779,"[35, 0, 219]",219,a,0.4485283170361072,colour,0.5
008,78,0,2,1,5,5,11.55893348180689,12.67994451499544,"[76, 0, 178]",178,l,0.6020347638987005,colour,0.5
008,78,0,2,1,6,6,13.20137483626604,14.151962572010234,"[48, 0, 206]",206,a,0.43296550773084164,colour,0.5
008,78,0,2,1,7,7,14.67158041568473,16.10397996730171,"[29, 0, 225]",225,a,0.9112071131821722,colour,0.5
008,78,0,2,1,8,8,16.620784965809435,17.655947501771152,"[66, 0, 188]",188,a,0.5180259195622057,colour,0.5
008,78,0,2,1,9,9,18.16190362907946,19.43996375030838,"[75, 0, 179]",179,a,0.7493700438644737,colour,0.5
008,78,0,2,1,10,10,19.94932861137204,20.919955999590456,"[42, 0, 212]",212,a,0.447328663431108,colour,0.5
008,78,0,2,1,11,11,21.43913667462766,22.351919563952833,"[99, 0, 155]",155,l,0.3897161395289004,colour,0.5
008,78,0,2,1,12,12,22.861148548312485,23.72796965483576,"[72, 0, 182]",182,a,0.3452178870793432,colour,0.5
008,78,0,2,1,13,13,24.2345748397056,25.23991341679357,"[49, 0, 205]",205,a,0.4820000738836825,colour,0.5
008,78,0,2,1,14,14,25.747160963946953,26.83195395465009,"[13, 0, 241]",241,a,0.5717933287378401,colour,0.5
008,78,0,2,1,15,15,27.346365159377456,28.44798362860456,"[1, 0, 253]",253,a,0.5782957198098302,colour,0.5
008,78,0,2,1,16,16,28.974641856504604,30.143999013816938,"[8, 0, 246]",246,a,0.63984354888089,colour,0.5
