id,age,condition,counterbalance,block,trialinblock,trial,tstart,tend,trialstim,trialintensity,response,RT,trialtype,colourfreq
031,63,1,2,Practice,1,NA,5.907611921429634e-06,1.6954153182450682,"[72, 0, 182]",182,a,1.1709980526939034,colour,0.5
031,63,1,2,Practice,2,NA,2.20393617474474,2.967384043848142,"[29, 0, 225]",225,a,0.24016291042789817,colour,0.5
031,63,1,2,Practice,3,NA,3.48510356573388,4.0554255426395684,"[73, 0, 181]",181,a,0.04705592314712703,colour,0.5
031,63,1,2,Practice,4,NA,4.5632776487618685,8.215545570943505,"[94, 0, 160]",160,l,3.128982569789514,colour,0.5
031,63,1,2,Practice,5,NA,8.73507757182233,9.343380867736414,"[77, 0, 177]",177,a,0.08513137116096914,colour,0.5
031,63,1,2,Practice,6,NA,9.860397768439725,15.639421456027776,"[67, 0, 187]",187,a,5.2564204761292785,colour,0.5
031,63,1,2,Practice,7,NA,16.156831021187827,16.8074522735551,"[7, 0, 247]",247,a,0.12756472453474998,colour,0.5
031,63,1,2,Practice,8,NA,17.32878848258406,21.495696051744744,"[13, 0, 241]",241,a,3.642247694544494,colour,0.5
031,63,1,2,Practice,9,NA,22.001915666507557,24.159389444161206,"[8, 0, 246]",246,a,1.634162825299427,colour,0.5
031,63,1,2,Practice,10,NA,24.67377309105359,26.015371018555015,"[1, 0, 253]",253,a,0.81819127057679,colour,0.5
031,63,1,2,1,1,1,4.4740971475839615,5.056036003865302,"[18, 0, 236]",236,a,0.057741356547921896,colour,0.5
031,63,1,2,1,2,2,5.568663491867483,6.199989445041865,"[24, 0, 230]",230,a,0.10831274837255478,colour,0.5
031,63,1,2,1,3,3,6.709193230373785,7.744026538915932,"[51, 0, 203]",203,a,0.5116566575597972,colour,0.5
031,63,1,2,1,4,4,8.256164082558826,9.551990812411532,"[79, 0, 175]",175,l,0.7724476421717554,colour,0.5
031,63,1,2,1,5,5,10.068639073288068,10.895977021427825,"[64, 0, 190]",190,a,0.3034082637168467,colour,0.5
031,63,1,2,1,6,6,11.413606352638453,12.088309314101934,"[90, 0, 164]",164,l,0.15132111683487892,colour,0.5
031,63,1,2,1,7,7,12.601151841925457,13.320010838797316,"[85, 0, 169]",169,l,0.195629570633173,colour,0.5
031,63,1,2,1,8,8,13.835515765007585,14.487991244066507,"[17, 0, 237]",237,a,0.1293634190224111,colour,0.5
031,63,1,2,1,9,9,15.007477558683604,24.08000152814202,"[68, 0, 186]",186,l,8.549305964726955,colour,0.5
