"","id","condition","model","parsname","pars","LL","convergence","BIC"
"1",1,"Stable","Ctl","tau",0.309210776598743,-179.883252601972,0,2.98460736772647
"2",1,"Stable","Ctl","sigma_ctl",0.133652213975737,-179.883252601972,0,2.98460736772647
"3",1,"Stable","RTF","tau0",29.4656511050927,-187.965858576086,0,9.58730173245643
"4",1,"Stable","RTF","sigma_rtf",14.2207223127745,-187.965858576086,0,9.58730173245643
"5",1,"Stable","RTF","nk",47,-187.965858576086,0,9.58730173245643
"6",2,"Stable","Ctl","tau",0.406572014204466,-171.17445324709,0,3.08385699356502
"7",2,"Stable","Ctl","sigma_ctl",0.131377750324798,-171.17445324709,0,3.08385699356502
"8",2,"Stable","RTF","tau0",40.5326140995139,-172.397253595527,0,9.74016006355012
"9",2,"Stable","RTF","sigma_rtf",13.5842305667134,-172.397253595527,0,9.74016006355012
"10",2,"Stable","RTF","nk",39,-172.397253595527,0,9.74016006355012
"11",3,"Stable","Ctl","tau",0.402556596487303,-232.862713643115,0,2.46832531917571
"12",3,"Stable","Ctl","sigma_ctl",0.17043404912013,-232.862713643115,0,2.46832531917571
"13",3,"Stable","RTF","tau0",38.7775642749857,-240.583234153763,0,9.0816289315862
"14",3,"Stable","RTF","sigma_rtf",18.2079678487011,-240.583234153763,0,9.0816289315862
"15",3,"Stable","RTF","nk",23,-240.583234153763,0,9.0816289315862
"16",4,"Stable","Ctl","tau",0.535969381127847,-144.70766355553,0,3.41979226749982
"17",4,"Stable","Ctl","sigma_ctl",0.0991982266145026,-144.70766355553,0,3.41979226749982
"18",4,"Stable","RTF","tau0",52.9072515592692,-151.882091411505,0,10.0412075363113
"19",4,"Stable","RTF","sigma_rtf",10.432222844215,-151.882091411505,0,10.0412075363113
"20",4,"Stable","RTF","nk",48,-151.882091411505,0,10.0412075363113
"21",5,"Decreasing","Ctl","tau",0.32503930106924,-168.346171091037,0,3.11717865212294
"22",5,"Decreasing","Ctl","sigma_ctl",0.0826909554817288,-168.346171091037,0,3.11717865212294
"23",5,"Decreasing","RTF","tau0",43.1207854125037,-137.638670267278,0,10.1469052158982
"24",5,"Decreasing","RTF","sigma_rtf",9.74889621713035,-137.638670267278,0,10.1469052158982
"25",5,"Decreasing","RTF","nk",42,-137.638670267278,0,10.1469052158982
"26",6,"Stable","Ctl","tau",0.398423057781985,-107.929062321337,0,4.00627509341852
"27",6,"Stable","Ctl","sigma_ctl",0.0867446801063012,-107.929062321337,0,4.00627509341852
"28",6,"Stable","RTF","tau0",38.3395340021922,-129.144478342477,0,10.3011451997165
"29",6,"Stable","RTF","sigma_rtf",10.7567463483776,-129.144478342477,0,10.3011451997165
"30",6,"Stable","RTF","nk",50,-129.144478342477,0,10.3011451997165
"31",7,"Stable","Ctl","tau",0.358063155162719,-124.562649783779,0,3.71960585443345
"32",7,"Stable","Ctl","sigma_ctl",0.0884702543812721,-124.562649783779,0,3.71960585443345
"33",7,"Stable","RTF","tau0",34.5625036756015,-116.896542098116,0,10.5070132894282
"34",7,"Stable","RTF","sigma_rtf",8.44899779875054,-116.896542098116,0,10.5070132894282
"35",7,"Stable","RTF","nk",44,-116.896542098116,0,10.5070132894282
"36",8,"Stable","Ctl","tau",0.205680046108547,-104.991771603977,0,4.06145949251512
"37",8,"Stable","Ctl","sigma_ctl",0.0729336301867817,-104.991771603977,0,4.06145949251512
"38",8,"Stable","RTF","tau0",18.7319785925279,-117.283494259756,0,10.5373048505937
"39",8,"Stable","RTF","sigma_rtf",8.52076332223043,-117.283494259756,0,10.5373048505937
"40",8,"Stable","RTF","nk",49,-117.283494259756,0,10.5373048505937
"41",9,"Decreasing","Ctl","tau",0.254802884529171,-160.983261500262,0,3.20662266785034
"42",9,"Decreasing","Ctl","sigma_ctl",0.0746279653864886,-160.983261500262,0,3.20662266785034
"43",9,"Decreasing","RTF","tau0",32.2324561324497,-166.321284979259,0,9.82599244407291
"44",9,"Decreasing","RTF","sigma_rtf",10.6494100341257,-166.321284979259,0,9.82599244407291
"45",9,"Decreasing","RTF","nk",48,-166.321284979259,0,9.82599244407291
"46",10,"Stable","Ctl","tau",0.396941325744695,-156.064458795349,0,3.2686852167097
"47",10,"Stable","Ctl","sigma_ctl",0.115289407560481,-156.064458795349,0,3.2686852167097
"48",10,"Stable","RTF","tau0",38.7569655813045,-159.431996033357,0,9.89344227547565
"49",10,"Stable","RTF","sigma_rtf",12.1575899462325,-159.431996033357,0,9.89344227547565
"50",10,"Stable","RTF","nk",46,-159.431996033357,0,9.89344227547565
"51",11,"Decreasing","Ctl","tau",0.368481959225409,-128.294924333847,0,3.66056003549961
"52",11,"Decreasing","Ctl","sigma_ctl",0.0600097627146087,-128.294924333847,0,3.66056003549961
"53",11,"Decreasing","RTF","tau0",49.9717403661578,-220.331842397688,0,9.2635656141376
"54",11,"Decreasing","RTF","sigma_rtf",14.1031507472513,-220.331842397688,0,9.2635656141376
"55",11,"Decreasing","RTF","nk",49,-220.331842397688,0,9.2635656141376
"56",12,"Stable","Ctl","tau",0.516525405379239,-152.376981128984,0,3.31650827656835
"57",12,"Stable","Ctl","sigma_ctl",0.107151077307157,-152.376981128984,0,3.31650827656835
"58",12,"Stable","RTF","tau0",51.3048458749308,-149.125259549706,0,10.0775474413647
"59",12,"Stable","RTF","sigma_rtf",10.8308599122878,-149.125259549706,0,10.0775474413647
"60",12,"Stable","RTF","nk",50,-149.125259549706,0,10.0775474413647
"61",13,"Stable","Ctl","tau",0.360463826123786,-202.507525906142,0,2.74766935368666
"62",13,"Stable","Ctl","sigma_ctl",0.154892540161246,-202.507525906142,0,2.74766935368666
"63",13,"Stable","RTF","tau0",34.8832056670515,-202.092497469559,0,9.3768547215931
"64",13,"Stable","RTF","sigma_rtf",16.3883891397536,-202.092497469559,0,9.3768547215931
"65",13,"Stable","RTF","nk",11,-202.092497469559,0,9.3768547215931
"66",14,"Decreasing","Ctl","tau",0.200157154770928,-164.209682367755,0,3.16693513094237
"67",14,"Decreasing","Ctl","sigma_ctl",0.0843961034058998,-164.209682367755,0,3.16693513094237
"68",14,"Decreasing","RTF","tau0",26.323207058152,-138.79660157934,0,10.1878160560553
"69",14,"Decreasing","RTF","sigma_rtf",9.65063203539667,-138.79660157934,0,10.1878160560553
"70",14,"Decreasing","RTF","nk",45,-138.79660157934,0,10.1878160560553
"71",15,"Decreasing","Ctl","tau",0.257177956280126,-271.724369893129,0,2.15964704227047
"72",15,"Decreasing","Ctl","sigma_ctl",0.143209272045464,-271.724369893129,0,2.15964704227047
"73",15,"Decreasing","RTF","tau0",33.7129223184947,-229.372250612058,0,9.15540630067209
"74",15,"Decreasing","RTF","sigma_rtf",15.575269563163,-229.372250612058,0,9.15540630067209
"75",15,"Decreasing","RTF","nk",43,-229.372250612058,0,9.15540630067209
"76",16,"Decreasing","Ctl","tau",0.370873633608015,-195.08234719337,0,2.82237992989113
"77",16,"Decreasing","Ctl","sigma_ctl",0.101592580411969,-195.08234719337,0,2.82237992989113
"78",16,"Decreasing","RTF","tau0",45.526727577322,-229.502675289551,0,9.55261996602802
"79",16,"Decreasing","RTF","sigma_rtf",11.9306710529329,-229.502675289551,0,9.55261996602802
"80",16,"Decreasing","RTF","nk",50,-229.502675289551,0,9.55261996602802
"81",17,"Decreasing","Ctl","tau",0.362772524598631,-179.147680114699,0,2.99280246680486
"82",17,"Decreasing","Ctl","sigma_ctl",0.0841876264625682,-179.147680114699,0,2.99280246680486
"83",17,"Decreasing","RTF","tau0",46.8040700452049,-152.898358440542,0,10.1025857648019
"84",17,"Decreasing","RTF","sigma_rtf",8.59566445643897,-152.898358440542,0,10.1025857648019
"85",17,"Decreasing","RTF","nk",50,-152.898358440542,0,10.1025857648019
"86",18,"Decreasing","Ctl","tau",0.485624711374562,-308.930501104285,0,1.90299078317517
"87",18,"Decreasing","Ctl","sigma_ctl",0.22120030056344,-308.930501104285,0,1.90299078317517
