id,age,condition,counterbalance,block,trialinblock,trial,tstart,tend,trialstim,response,RT,trialtype,ethicfreq,norm_mean,norm_sd,norm_se
111,20,1,1,0,0,practice,7.482944056391716e-06,6.680308948038146,stimuli/prac_217_1.png,l,6.663928127847612,harmless,NA,NA,NA,NA
111,20,1,1,1,1,1,4.715382461436093,8.464187435805798,stimuli/195_xc.png,l,3.7371975611895323,harmless,0.333,6.637640449,1.001766915,0.05309354
111,20,1,1,1,2,2,9.032027512555942,15.70394873386249,stimuli/219_ya.png,l,6.660461894003674,ambig,0.333,5.271186441,1.998538332,0.260187529
111,20,1,1,1,3,3,16.272009758045897,21.95190201769583,stimuli/139_xa.png,l,5.668404575437307,harmless,0.333,6.724137931,0.790138861,0.103750315
111,20,1,1,1,4,4,22.569497772259638,30.90391628118232,stimuli/354_zb.png,a,8.323067095130682,awful,0.333,2,1.701925887,0.221571878
111,20,1,1,1,5,5,31.482894701184705,41.00797812733799,stimuli/210_yb.png,l,9.513242462649941,ambig,0.333,5.557377049,1.76564049,0.226067099
111,20,1,1,1,6,6,41.57419595471583,48.44794918759726,stimuli/272_xb.png,l,6.861860281554982,harmless,0.333,6.355932203,1.029943284,0.134087194
111,20,1,1,1,7,7,49.02403993275948,54.399916583672166,stimuli/242_xb.png,l,5.363706432515755,harmless,0.333,6.576271186,0.913564256,0.118935936
111,20,1,1,1,8,8,54.9705958920531,61.03988118469715,stimuli/244_xb.png,l,6.057169818552211,harmless,0.333,6.610169492,0.743174671,0.096753101
111,20,1,1,1,9,9,61.60031972383149,65.64806363917887,stimuli/115_xb.png,l,4.035990385338664,harmless,0.333,6.440677966,1.021681954,0.133011661
111,20,1,1,1,10,10,66.26638761418872,70.55984855862334,stimuli/105_xa.png,l,4.281583353178576,harmless,0.333,6.557377049,1.088187946,0.139328189
111,20,1,1,1,11,11,71.26539039728232,77.2398770886939,stimuli/257_yb.png,l,5.962729616789147,ambig,0.333,5.620689655,1.843219782,0.242026615
