id,age,condition,counterbalance,block,trialinblock,trial,tstart,tend,trialstim,response,RT,trialtype,ethicfreq,norm_mean,norm_sd,norm_se
172,22,1,2,2,11,35,198.7134976,202.5850061,stimuli/172_xb.png,l,3.860912525,harmless,0.333,6.482758621,1.127664553,0.14806961
,,,,,,,,,,,,,,,,
172,22,1,2,2,12,36,203.2642356,206.6010152,stimuli/321_zb.png,l,3.326195795,awful,0.333,2.918032787,2.177881861,0.278849198
,,,,,,,,,,,,,,,,
172,22,1,2,2,13,37,207.2491095,213.0569836,stimuli/141_xc.png,l,5.797258754,harmless,0.333,6.508474576,1.040107444,0.135410455
,,,,,,,,,,,,,,,,
172,22,1,2,2,14,38,213.6838626,216.5609874,stimuli/317_za.png,a,2.866531131,awful,0.333,3.65,2.03215674,0.262350307
,,,,,,,,,,,,,,,,
172,22,1,2,2,15,39,217.1889094,222.9449742,stimuli/350_ya.png,l,5.745622009,ambig,0.333,4.915254237,2.02814792,0.264042369
,,,,,,,,,,,,,,,,
172,22,1,2,2,16,40,223.5603277,226.5050026,stimuli/167_xb.png,l,2.934146993,harmless,0.333,6.590163934,0.955284411,0.122311635
,,,,,,,,,,,,,,,,
172,22,1,2,2,17,41,227.115224,229.2809886,stimuli/132_xc.png,l,2.155262333,harmless,0.333,6.627118644,0.692280217,0.090127208
,,,,,,,,,,,,,,,,
172,22,1,2,2,18,42,229.8906077,232.352984,stimuli/192_za.png,l,2.452136693,awful,0.333,2.68852459,2.093967396,0.268105052
,,,,,,,,,,,,,,,,
172,22,1,2,2,19,43,232.9203746,237.2330343,stimuli/138_xc.png,l,4.302016412,harmless,0.333,6.661016949,0.70978796,0.092406522
,,,,,,,,,,,,,,,,
172,22,1,2,2,20,44,237.8587121,241.936952,stimuli/179_xb.png,l,4.067817117,harmless,0.333,6.704918033,0.882123617,0.112944356
,,,,,,,,,,,,,,,,
172,22,1,2,2,21,45,242.5043276,244.6169486,stimuli/152_xa.png,l,2.102038783,harmless,0.333,6.576271186,0.968528743,0.126091702
,,,,,,,,,,,,,,,,
172,22,1,2,2,22,46,245.2213646,248.2889817,stimuli/223_yb.png,l,3.057022194,ambig,0.333,5.542372881,1.77455224,0.231027024
,,,,,,,,,,,,,,,,
