id,age,condition,counterbalance,block,trialinblock,trial,tstart,tend,trialstim,response,RT,trialtype,ethicfreq,norm_mean,norm_sd,norm_se
108,21,1,1,0,0,practice,5.120004061609507e-06,12.719816042401362,stimuli/prac_217_1.png,l,12.705320937151555,harmless,NA,NA,NA,NA
108,21,1,1,1,1,1,4.487360696715768,13.216152881563175,stimuli/353_zb.png,l,8.716710961190984,awful,0.333,1.949152542,1.623361018,0.211343603
108,21,1,1,1,2,2,13.770405157178175,18.07213130511809,stimuli/258_ya.png,l,4.28974732424831,ambig,0.333,5.627118644,1.78014243,0.231754804
108,21,1,1,1,3,3,18.616744989529252,26.848175154300407,stimuli/268_zb.png,a,8.219557285658084,awful,0.333,2.655737705,2.048456703,0.262278005
108,21,1,1,1,4,4,27.45841262768954,35.712125413178,stimuli/318_za.png,a,8.241973420139402,awful,0.333,3.06557377,2.197489875,0.281359747
108,21,1,1,1,5,5,36.27017121273093,43.72819826519117,stimuli/225_ya.png,l,7.446083281072788,ambig,0.333,5.85,1.792876677,0.231459384
108,21,1,1,1,6,6,44.36468044918729,51.024168354982976,stimuli/333_za.png,a,6.64799075567862,awful,0.333,3.266666667,2.185209657,0.282109354
108,21,1,1,1,7,7,51.585297574230935,57.70416815014323,stimuli/204_xb.png,l,6.1069319244707,harmless,0.333,6.508474576,0.858484658,0.111765183
108,21,1,1,1,8,8,58.25588366424199,64.2801335452823,stimuli/279_ya.png,l,6.012571167957503,ambig,0.333,5.31147541,1.970964092,0.252356093
108,21,1,1,1,9,9,64.83694660710171,70.81611215788871,stimuli/133_xa.png,l,5.967287551611662,harmless,0.333,6.568965517,1.186356193,0.1557762
108,21,1,1,1,10,10,71.36501561204204,79.20012532180408,stimuli/211_zb.png,l,7.823188781389035,awful,0.333,3.983333333,2.127237938,0.274625237
108,21,1,1,1,11,11,79.75554377521621,91.08806631108746,stimuli/291_za.png,l,11.320511810656171,awful,0.333,2.593220339,1.830005126,0.238246374
108,21,1,1,1,12,12,91.64582932926714,96.97614120796788,stimuli/243_ya.png,l,5.318314938107505,ambig,0.333,5.830508475,1.652088985,0.215083666
108,21,1,1,1,13,13,97.53788600838743,108.65607208013535,stimuli/286_ya.png,l,11.106233241851442,ambig,0.333,5.06779661,1.779814082,0.231712057
