id,age,condition,counterbalance,block,trialinblock,trial,tstart,tend,trialstim,response,RT,trialtype,ethicfreq,norm_mean,norm_sd,norm_se
110,18,0,1,0,0,practice,2.0480016246438026e-05,5.895922276889905,stimuli/prac_217_1.png,a,5.875105550629087,harmless,NA,NA,NA,NA
110,18,0,1,1,1,1,4.250450165825896,10.783848299994133,stimuli/301_za.png,l,6.5215744856977835,awful,0.333,3.610169492,2.212947396,0.288101212
110,18,0,1,1,2,2,11.34012533747591,16.271849390119314,stimuli/116_xa.png,a,4.919738927390426,harmless,0.333,6.63559322,0.958030802,0.050918763
110,18,0,1,1,3,3,16.826406502514146,24.775796907837503,stimuli/217_yb.png,l,7.9373698339331895,ambig,0.333,5.169491525,2.001314588,0.260548967
110,18,0,1,1,4,4,25.32412810390815,32.519786819117144,stimuli/126_xa.png,a,7.183618057752028,harmless,0.333,6.6,0.977717855,0.126222832
110,18,0,1,1,5,5,33.130572132067755,40.1757501977263,stimuli/331_za.png,l,7.033286675694399,awful,0.333,1.983606557,1.638004917,0.209725039
110,18,0,1,1,6,6,40.72980200580787,49.02379735209979,stimuli/145_xa.png,a,8.282222110196017,harmless,0.333,6.661016949,0.822321556,0.107057148
110,18,0,1,1,7,7,49.574498712900095,56.839831528486684,stimuli/123_xc.png,a,7.253327998099849,harmless,0.333,6.491525424,1.023396666,0.133234897
110,18,0,1,1,8,8,57.40049561567139,62.58377496583853,stimuli/156_xc.png,a,5.171297375694849,harmless,0.333,6.590163934,0.955284411,0.122311635
110,18,0,1,1,9,9,63.134724843432195,68.37575894105248,stimuli/190_xc.png,l,5.229062756989151,harmless,0.333,6.517241379,1.046990328,0.137476565
110,18,0,1,1,10,10,68.93281618738547,75.40775734675117,stimuli/287_ya.png,l,6.463108058669604,ambig,0.333,5.950819672,1.407435369,0.180203633
110,18,0,1,1,11,11,75.95266168948729,81.29579837294295,stimuli/192_za.png,l,5.3310637306421995,awful,0.333,2.68852459,2.093967396,0.268105052
110,18,0,1,1,12,12,81.90916180133354,98.27981571154669,stimuli/297_za.png,l,16.35930248303339,awful,0.333,1.898305085,1.446695584,0.188343723
110,18,0,1,1,13,13,98.83196366846096,107.5597460323479,stimuli/289_yb.png,l,8.715674358652905,ambig,0.333,5.305084746,1.714584873,0.223219937
110,18,0,1,1,14,14,108.11334412998985,114.75171716825571,stimuli/176_xb.png,a,6.626452503842302,harmless,0.333,6.796610169,0.517942249,0.067430337
110,18,0,1,1,15,15,115.28766033460852,119.69574457360432,stimuli/247_ya.png,l,4.396035704528913,ambig,0.333,4.65,2.081598147,0.268733165
110,18,0,1,1,16,16,120.31592389952857,128.72771383472718,stimuli/292_zb.png,l,8.399930840707384,awful,0.333,2.396551724,1.955107169,0.256718148
110,18,0,1,1,17,17,129.28403655835427,138.59173577348702,stimuli/281_ya.png,a,9.295851542148739,ambig,0.333,5.881355932,1.543448286,0.200939852
110,18,0,1,1,18,18,139.1439884933643,144.7677435463993,stimuli/333_za.png,l,5.61172857391648,awful,0.333,3.266666667,2.185209657,0.282109354
110,18,0,1,1,19,19,145.38044295064174,152.9757524819579,stimuli/303_zb.png,l,7.583916750387289,awful,0.333,3.620689655,2.158846233,0.283470398
110,18,0,1,1,20,20,153.53714479040354,161.61573398695327,stimuli/361_za.png,l,8.066593831405044,awful,0.333,2.416666667,1.907093508,0.246204713
110,18,0,1,1,21,21,162.17703216616064,167.97574539273046,stimuli/260_ya.png,l,5.786745824385434,ambig,0.333,4.966101695,2.016877936,0.262575142
110,18,0,1,1,22,22,168.53719835344236,175.43170908652246,stimuli/196_xb.png,a,6.882455503335223,harmless,0.333,6.594366197,0.982313556,0.05213579
110,18,0,1,1,23,23,175.99027161183767,182.335747346282,stimuli/254_ya.png,a,6.333734793588519,ambig,0.333,5.983606557,1.627798137,0.208418195
110,18,0,1,1,24,24,182.89762408507522,191.11976618156768,stimuli/218_yb.png,a,8.210267248097807,ambig,0.333,5.850282486,1.552723069,0.0825263
110,18,0,1,2,1,25,211.10082888812758,220.00767133082263,stimuli/228_ya.png,l,8.89539609872736,ambig,0.333,5.442622951,1.793735303,0.229664272
110,18,0,1,2,2,26,220.56783326447476,227.6396939974511,stimuli/104_xc.png,a,7.059856703039259,harmless,0.333,6.745762712,0.756425814,0.098478253
110,18,0,1,2,3,27,228.19315070437733,233.65566799417138,stimuli/312_yb.png,l,5.450524287647568,ambig,0.333,4.677966102,2.112692986,0.275049199
110,18,0,1,2,4,28,234.20957644237205,244.1916690559592,stimuli/339_ya.png,l,9.970142540638335,ambig,0.333,4.949152542,1.960152429,0.25519011
110,18,0,1,2,5,29,244.74041930411477,252.79966397059616,stimuli/352_zb.png,l,8.047563984175213,awful,0.333,2.93442623,2.135952968,0.273480754
110,18,0,1,2,6,30,253.3491676460253,257.76773645717185,stimuli/150_xc.png,a,4.406505704391748,harmless,0.333,6.482758621,1.030097582,0.135258439
