id,age,condition,counterbalance,block,trialinblock,trial,tstart,tend,trialstim,response,RT,trialtype,ethicfreq,norm_mean,norm_sd,norm_se
173,20,0,2,0,0,practice,5.907611921429634e-06,5.207681879866868,stimuli/prac_217_1.png,l,5.185743891634047,harmless,NA,NA,NA,NA
173,20,0,2,1,1,1,4.251779985264875,13.959795846254565,stimuli/267_ya.png,l,9.696209945017472,ambig,0.333,5.103448276,1.898195405,0.249245267
173,20,0,2,1,2,2,14.576042135246098,23.071711408905685,stimuli/272_xb.png,l,8.484050434315577,harmless,0.333,6.355932203,1.029943284,0.134087194
173,20,0,2,1,3,3,23.692610983736813,32.03970672679134,stimuli/205_yb.png,a,8.335257925558835,ambig,0.333,5.847457627,1.52918233,0.199082582
173,20,0,2,1,4,4,32.6095308274962,44.08770744828507,stimuli/343_zb.png,a,11.466218286543153,awful,0.333,3.103448276,2.141401862,0.28117984
173,20,0,2,1,5,5,44.69789757335093,58.759667137404904,stimuli/359_za.png,a,14.049791537458077,awful,0.333,2.01754386,1.641985167,0.217486248
173,20,0,2,1,6,6,59.333920032018796,72.31164530583192,stimuli/249_ya.png,l,12.965807111817412,ambig,0.333,5.327868852,1.859402337,0.238072074
173,20,0,2,1,7,7,72.92724293109495,78.27962290076539,stimuli/305_zb.png,a,5.3404283308191225,awful,0.333,2.75,2.12830003,0.274762352
173,20,0,2,1,8,8,78.85135124495719,85.30371364904568,stimuli/179_xb.png,l,6.440470629720949,harmless,0.333,6.704918033,0.882123617,0.112944356
173,20,0,2,1,9,9,85.89097171952017,99.89559271011967,stimuli/235_ya.png,l,13.992746545467526,ambig,0.333,5.694915254,1.567495667,0.204070554
173,20,0,2,1,10,10,100.48498227307573,106.01565378764644,stimuli/127_xb.png,l,5.519003050751053,harmless,0.333,6.423728814,1.162686987,0.151368953
173,20,0,2,1,11,11,106.61103452998213,112.47963660652749,stimuli/298_za.png,a,5.856900923419744,awful,0.333,2.881355932,2.026418156,0.263817173
173,20,0,2,1,12,12,113.11262172786519,125.06357337697409,stimuli/340_za.png,a,11.939263886772096,awful,0.333,2.508474576,1.832398855,0.238558011
173,20,0,2,1,13,13,125.68544220586773,130.91954640019685,stimuli/128_xc.png,l,5.222378622740507,harmless,0.333,6.627118644,0.98082135,0.127692063
173,20,0,2,1,14,14,131.534520173911,139.8395559627097,stimuli/238_xb.png,l,8.29372375505045,harmless,0.333,6.4,1.076718178,0.139003719
173,20,0,2,1,15,15,140.47170337440912,151.48753754328936,stimuli/365_zb.png,a,11.003530038171448,awful,0.333,2.966101695,2.165291266,0.281896912
173,20,0,2,1,16,16,152.0868910064455,161.35953693208285,stimuli/370_za.png,a,9.260937289567664,awful,0.333,2.393442623,1.882185684,0.240989182
173,20,0,2,1,17,17,161.92674314102624,173.38353512668982,stimuli/207_yb.png,l,11.444872248335741,ambig,0.333,5.655737705,1.662179753,0.212820309
173,20,0,2,1,18,18,173.99011093052104,181.3515150847379,stimuli/271_ya.png,l,7.349218177143484,ambig,0.333,5.711864407,1.771915459,0.230683744
173,20,0,2,1,19,19,181.96907563647255,191.3834835329326,stimuli/213_ya.png,a,9.402651211130433,ambig,0.333,5.98245614,1.597891781,0.211645937
173,20,0,2,1,20,20,191.98175667750183,198.71944368525874,stimuli/247_ya.png,a,6.725809805677272,ambig,0.333,4.65,2.081598147,0.268733165
173,20,0,2,1,21,21,199.32876695599407,212.53555008023977,stimuli/326_zb.png,a,13.195141835603863,awful,0.333,3.389830508,2.220724867,0.289113752
173,20,0,2,1,22,22,213.1510405795416,217.89548243326135,stimuli/126_xa.png,l,4.7326918637845665,harmless,0.333,6.6,0.977717855,0.126222832
173,20,0,2,1,23,23,218.51488185022026,229.38353118824307,stimuli/204_xb.png,l,10.856864689616486,harmless,0.333,6.508474576,0.858484658,0.111765183
173,20,0,2,1,24,24,229.99287257599644,250.93546091357712,stimuli/187_xc.png,l,20.93083047075197,harmless,0.333,6.224137931,1.185335891,0.155642228
173,20,0,2,2,1,25,259.70898905349895,269.2954098081682,stimuli/285_yb.png,a,9.574702666257508,ambig,0.333,4.120689655,2.119893958,0.278355714
173,20,0,2,2,2,26,269.90199270122685,274.87147951254155,stimuli/227_xa.png,l,4.95810270390939,harmless,0.333,6.180327869,1.05685377,0.135316259
173,20,0,2,2,3,27,275.4811068321578,278.89538436580915,stimuli/294_za.png,a,3.4024893406312913,awful,0.333,1.557377049,1.38473331,0.177296933
173,20,0,2,2,4,28,279.5095125531079,286.8874247459462,stimuli/338_zb.png,a,7.3665198147064075,awful,0.333,3.310344828,2.137443107,0.28066003
173,20,0,2,2,5,29,287.51451005996205,294.86332690843847,stimuli/210_yb.png,l,7.3372752028517425,ambig,0.333,5.557377049,1.76564049,0.226067099
173,20,0,2,2,6,30,295.4821891199099,302.39134075283073,stimuli/224_yb.png,l,6.897351624560542,ambig,0.333,5.881355932,1.609077116,0.209483997
173,20,0,2,2,7,31,302.9970914501464,312.9753381755436,stimuli/226_yb.png,l,9.96654557227157,ambig,0.333,5.683333333,1.712285287,0.22105508
173,20,0,2,2,8,32,313.5805130705703,320.7753673988627,stimuli/284_ya.png,l,7.1832189473789185,ambig,0.333,5.948275862,1.431750417,0.18799804
173,20,0,2,2,9,33,321.3989880530862,326.4553146708058,stimuli/329_zb.png,a,5.043752702767961,awful,0.333,2.406779661,1.992387617,0.259386774
173,20,0,2,2,10,34,327.077425320982,342.87129361741245,stimuli/332_zb.png,a,15.782165567972697,awful,0.333,2.694915254,2.002190501,0.260663001
173,20,0,2,2,11,35,343.45887897361536,353.047285104054,stimuli/215_yb.png,l,9.576736485003494,ambig,0.333,5.866666667,1.466769385,0.189359113
173,20,0,2,2,12,36,353.65622516314033,367.2392722363584,stimuli/281_ya.png,a,13.571289206389338,ambig,0.333,5.881355932,1.543448286,0.200939852
173,20,0,2,2,13,37,367.8543992161285,373.9273067340255,stimuli/193_xc.png,l,6.061035435879603,harmless,0.333,6.482758621,1.012923151,0.133003326
173,20,0,2,2,14,38,374.5456935738912,381.5033803768456,stimuli/301_za.png,l,6.946334596956149,awful,0.333,3.610169492,2.212947396,0.288101212
173,20,0,2,2,15,39,382.08291355951224,387.4232591827167,stimuli/108_xb.png,l,5.328775226837024,harmless,0.333,6.568965517,1.077880782,0.141532681
173,20,0,2,2,16,40,388.0004895500606,396.2712048445828,stimuli/117_xc.png,l,8.25880973553285,harmless,0.333,6.627118644,0.868972939,0.113130641
173,20,0,2,2,17,41,396.845182835008,405.5191983981058,stimuli/220_yb.png,a,8.662394754588604,ambig,0.333,4.75,2.096203186,0.270618668
173,20,0,2,2,18,42,406.088988628122,412.35121142969,stimuli/138_xc.png,l,6.250885955640115,harmless,0.333,6.661016949,0.70978796,0.092406522
173,20,0,2,2,19,43,412.98234783974476,420.8391952001257,stimuli/352_zb.png,a,7.844672804814763,awful,0.333,2.93442623,2.135952968,0.273480754
173,20,0,2,2,20,44,421.46484297770076,433.72717605612706,stimuli/314_zb.png,a,12.250639014528133,awful,0.333,1.833333333,1.451669602,0.18740974
173,20,0,2,2,21,45,434.36609958147164,442.50316297414247,stimuli/154_xc.png,l,8.125050707603805,harmless,0.333,6.5,0.965506805,0.124646393
173,20,0,2,2,22,46,443.12653196102474,448.7991607937729,stimuli/362_zb.png,a,5.660295557463542,awful,0.333,1.474576271,1.222715071,0.159183944
173,20,0,2,2,23,47,449.41706162819173,460.0711332435021,stimuli/182_xb.png,l,10.642357859178446,harmless,0.333,6.542372881,0.988241802,0.128658124
173,20,0,2,2,24,48,460.66405205696356,464.22319821536075,stimuli/107_xa.png,l,3.5473181870765984,harmless,0.333,6.813559322,0.540580029,0.070377525
173,20,0,2,3,1,49,473.06891274196096,476.35108933760785,stimuli/153_xb.png,l,3.2706731531070545,harmless,0.333,6.633333333,0.973664521,0.125699549
173,20,0,2,3,2,50,476.97261827776674,480.6151474597864,stimuli/133_xa.png,l,3.6308284227270633,harmless,0.333,6.568965517,1.186356193,0.1557762
173,20,0,2,3,3,51,481.2373163989978,484.5190924536437,stimuli/363_zb.png,a,3.2700229139300063,awful,0.333,2.433333333,2.019956927,0.260775318
173,20,0,2,3,4,52,485.1367274422664,493.95113006117754,stimuli/222_ya.png,l,8.80300315155182,ambig,0.333,5.931034483,1.543089507,0.202617579
173,20,0,2,3,5,53,494.5550958502572,501.0070624394575,stimuli/198_yb.png,a,6.440194150083698,ambig,0.333,5.101694915,1.83542643,0.238952168
173,20,0,2,3,6,54,501.61095261015,509.3670869524358,stimuli/327_zb.png,a,7.74436899239663,awful,0.333,2.502808989,1.906990248,0.101070281
173,20,0,2,3,7,55,509.9643014399335,517.631068668561,stimuli/236_yb.png,l,7.655016450909898,ambig,0.333,5.93442623,1.49297078,0.19115532
173,20,0,2,3,8,56,518.2218398419209,522.9350320156664,stimuli/212_ya.png,l,4.7015540360007435,ambig,0.333,5.677966102,1.490668422,0.194068498
173,20,0,2,3,9,57,523.4948898531729,528.5110926616471,stimuli/318_za.png,a,5.004799796501175,awful,0.333,3.06557377,2.197489875,0.281359747
173,20,0,2,3,10,58,529.1255048116436,539.7110047553433,stimuli/312_yb.png,l,10.573540821787901,ambig,0.333,4.677966102,2.112692986,0.275049199
173,20,0,2,3,11,59,540.3090833401075,548.9750364897773,stimuli/141_xc.png,l,8.654021596885286,harmless,0.333,6.508474576,1.040107444,0.135410455
173,20,0,2,3,12,60,549.5982506953878,555.1110435884912,stimuli/371_zb.png,a,5.501114583108574,awful,0.333,3.131147541,2.085468851,0.267016925
173,20,0,2,3,13,61,555.684470194974,563.3029385608388,stimuli/337_zb.png,a,7.606964135542512,awful,0.333,3.033333333,2.20143764,0.284204377
173,20,0,2,3,14,62,563.9061489539454,569.2949494026834,stimuli/351_zb.png,a,5.37698508030735,awful,0.333,3.06779661,2.033040926,0.264679384
173,20,0,2,3,15,63,569.9295536233112,580.958953016554,stimuli/135_xa.png,l,11.017805366194807,harmless,0.333,6.508474576,1.179901828,0.153610134
173,20,0,2,3,16,64,581.5676941836718,590.2629596868064,stimuli/263_ya.png,l,8.683462737943046,ambig,0.333,4.983050847,2.071910042,0.269739712
